name,description
Benitec Biopharma Limited,All-in-one kit for making delicious chicken salad.
"One Horizon Group, Inc.",Durable boots designed for outdoor hiking and activities.
Norwegian Cruise Line Holdings Ltd.,"Rich coconut milk, great for cooking and baking."
Encore Capital Group Inc,Secure phone mount that wirelessly charges your device while driving.
Deutsche Bank AG,Creamy tahini made from ground sesame seeds.
Campbell Soup Company,"Fluffy couscous seasoned with a blend of herbs, perfect as a side dish."
Capital One Financial Corporation,"Frozen pizza rolls filled with vegetables and cheese, perfect for snacks."
Compass Diversified Holdings,Ready-to-eat chicken bowl with teriyaki sauce and rice.
National General Holdings Corp,"Tender jackfruit cooked in BBQ sauce, a delicious plant-based alternative."
Forum Merger Corporation,Lentils cooked in a coconut curry for a hearty meal.
Vornado Realty Trust,Soft cotton pajama set for cozy nights in.
Heska Corporation,Stylish smartwatch with fitness tracking and notifications.
Brookfield Infrastructure Partners LP,Comfortable support brace to relieve wrist pain.
Yintech Investment Holdings Limited,"Sweet and gooey cinnamon rolls, ready to bake."
"Team, Inc.",Vertical shoe rack for saving closet space.
CRH PLC,Savory wraps with buffalo chicken and fresh vegetables.
"Colony NorthStar, Inc.",Savory popcorn flavored with maple syrup and bacon bits.
"CST Brands, Inc.",Non-stick and heat-resistant utensils for cooking.
Centrais Electricas Brasileiras S.A.- Eletrobras,Beautiful wall calendar for organizing your schedule.
Center Coast MLP & Infrastructure Fund,"A light and tangy dressing with poppy seeds, perfect for salads."
Regal Beloit Corporation,Lightweight hammock for easy setup anywhere.
Crawford & Company,Crispy cheese snacks that melt in your mouth.
"BofI Holding, Inc.",Comfortable carrier for small pets during travel.
"Miller Industries, Inc.",A creamy and tangy dressing perfect for salads or as a dipping sauce.
UNITIL Corporation,Sweet mixture of cinnamon and sugar for sprinkling.
"Ply Gem Holdings, Inc.","High-protein pasta made from black beans, gluten-free."
First Trust Nasdaq Semiconductor ETF,"Deliciously creamy almond milk, perfect for smoothies."
