name,description
"Guidewire Software, Inc.",Bluetooth scale that tracks body composition through an app.
"Leggett & Platt, Incorporated",Versatile folding table great for events or outdoor activities.
Barington/Hilco Acquisition Corp.,"Tangy feta cheese, perfect for salads and sandwiches."
"Delcath Systems, Inc.","Wide egg noodles, perfect for casseroles and soups."
NASDAQ TEST STOCK,All ingredients included for delicious chicken fajitas.
BHP Billiton Limited,Luxurious satin slip dress for an elegant evening look.
"Carrols Restaurant Group, Inc.",Delicious veggie burgers loaded with grilled vegetables.
"Summit Hotel Properties, Inc.","Fresh basil pesto, perfect for pasta or as a sandwich spread."
Xinyuan Real Estate Co Ltd,Decadent tart made with rich dark chocolate.
Bank of N.T. Butterfield & Son Limited (The),Soft comforter set for a cozy bedroom look.
"Socket Mobile, Inc.","Hearty beef chili, ready to heat and eat."
"Commerce Bancshares, Inc.",Electric foot massager for relaxation and relief.
SLM Corporation,Stylish markers for labeling your indoor garden plants.
Bank of Nova Scotia (The),Personalized calendar with your favorite photos.
"SandRidge Energy, Inc.",Programmable digital thermostat for home heating.
Benitec Biopharma Limited,All-in-one kit for making delicious chicken salad.
"One Horizon Group, Inc.",Durable boots designed for outdoor hiking and activities.
Norwegian Cruise Line Holdings Ltd.,"Rich coconut milk, great for cooking and baking."
Encore Capital Group Inc,Secure phone mount that wirelessly charges your device while driving.
Deutsche Bank AG,Creamy tahini made from ground sesame seeds.
Campbell Soup Company,"Fluffy couscous seasoned with a blend of herbs, perfect as a side dish."
Capital One Financial Corporation,"Frozen pizza rolls filled with vegetables and cheese, perfect for snacks."
Compass Diversified Holdings,Ready-to-eat chicken bowl with teriyaki sauce and rice.
National General Holdings Corp,"Tender jackfruit cooked in BBQ sauce, a delicious plant-based alternative."
Forum Merger Corporation,Lentils cooked in a coconut curry for a hearty meal.
Vornado Realty Trust,Soft cotton pajama set for cozy nights in.
Heska Corporation,Stylish smartwatch with fitness tracking and notifications.
Brookfield Infrastructure Partners LP,Comfortable support brace to relieve wrist pain.
Yintech Investment Holdings Limited,"Sweet and gooey cinnamon rolls, ready to bake."
"Team, Inc.",Vertical shoe rack for saving closet space.
CRH PLC,Savory wraps with buffalo chicken and fresh vegetables.
"Colony NorthStar, Inc.",Savory popcorn flavored with maple syrup and bacon bits.
"CST Brands, Inc.",Non-stick and heat-resistant utensils for cooking.
Centrais Electricas Brasileiras S.A.- Eletrobras,Beautiful wall calendar for organizing your schedule.
Center Coast MLP & Infrastructure Fund,"A light and tangy dressing with poppy seeds, perfect for salads."
Regal Beloit Corporation,Lightweight hammock for easy setup anywhere.
Crawford & Company,Crispy cheese snacks that melt in your mouth.
"BofI Holding, Inc.",Comfortable carrier for small pets during travel.
"Miller Industries, Inc.",A creamy and tangy dressing perfect for salads or as a dipping sauce.
UNITIL Corporation,Sweet mixture of cinnamon and sugar for sprinkling.
"Ply Gem Holdings, Inc.","High-protein pasta made from black beans, gluten-free."
First Trust Nasdaq Semiconductor ETF,"Deliciously creamy almond milk, perfect for smoothies."
W.R. Berkley Corporation,Rechargeable electric razor for a smooth shave.
"Ingles Markets, Incorporated",Nutty granola bars for healthy snacking.
Quotient Technology Inc.,Blender for smoothies with a portable cup.
"Office Depot, Inc.",Chewy bars made with peanut butter and chocolate chips.
First Trust Emerging Markets Local Currency Bond ETF,Silicone oven mitts designed for safe cooking and baking.
"Forum Energy Technologies, Inc.",A comforting soup filled with chicken and noodles in broth.
"Groupon, Inc.",Ergonomic desk that adjusts height for standing or sitting.
Weyerhaeuser Company,"Rich in selenium, perfect for snacking or baking."
Xerox Corporation,Creamy yogurt made with coconut milk
Seaspan Corporation,Sharp tailored blazer perfect for office wear and professional events.
Unilever NV,Automatically cooks eggs to your desired level.
"Salem Media Group, Inc.",Comfortable pillow with built-in massage features.
NXT-ID Inc.,1080p wireless security camera with night vision.
Hunter Maritime Acquisition Corp.,Instant oatmeal flavored with cranberries and orange zest for breakfast.
"Novavax, Inc.","Organic rolled oats, great for breakfast or baking."
Allegheny Technologies Incorporated,"Sweet and savory carrots glazed in honey, perfect as a side dish."
"Xenia Hotels & Resorts, Inc.",Multi-port USB-C hub for connecting devices.
"Tower International, Inc.",Soft silicone earbud covers for comfort and fit.
"Northfield Bancorp, Inc.",Stackable containers for organizing snacks and treats.
"Internationa Flavors & Fragrances, Inc.",Breathable tank top perfect for workouts or casual wear.
BlackRock Long-Term Municipal Advantage Trust,A high-quality protein powder perfect for smoothies and baking.
Range Resources Corporation,"Bell peppers stuffed with rice, beans, and spices, ready to bake."
Seadrill Limited,Delicious pie filled with coconut cream and topped with whipped cream.
"PRA Group, Inc.",Crunchy granola with almonds and coconut.
"Minerva Neurosciences, Inc",Electric food steamer for healthy cooking.
ProShares UltraShort Nasdaq Biotechnology,"A comfortable henley shirt made of soft cotton, perfect for casual outings."
Liberty Global plc,"Sweet and crisp apples, perfect for snacking."
Netshoes (Cayman) Limited,Challenging and fun puzzle game for all ages.
"Ocera Therapeutics, Inc.",Supportive pillow that provides comfort while traveling.
First Trust Strategic High Income Fund II,"Farm fresh eggs, essential for breakfast."
Conyers Park Acquisition Corp.,"Fluffy quinoa mixed with lemon zest and herbs, a perfect side."
BLDRS Europe 100 ADR Index Fund,Automatic waterer that filters and provides fresh drinking water for pets.
Xinyuan Real Estate Co Ltd,A pre-packaged salad kit with noodles and Asian-style dressing.
Alliance California Municipal Income Fund Inc,Spicy and tangy chili sauce for adding heat to any dish.
magicJack VocalTec Ltd,Comfortable and adjustable harness for dogs.
Public Storage,Classic leather photo album for keepsakes.
"DigitalGlobe, Inc",Crunchy granola with pumpkin spice flavor.
State Street Corporation,"Natural pink salt, perfect for seasoning."
Blackrock Enhanced Equity Dividend Trust,Convenient hooks that utilize door space for hanging items.
"Threshold Pharmaceuticals, Inc.",High-quality sketchbook for artists.
Matlin & Partners Acquisition Corporation,"Rich and creamy tomato basil soup, perfect with a grilled cheese."
"Cracker Barrel Old Country Store, Inc.","Rich coconut milk, great for cooking and baking."
TD Ameritrade Holding Corporation,Lightweight and portable swing hammock for relaxing outdoors.
"Wheeler Real Estate Investment Trust, Inc.",Classic wooden puzzle game for kids and adults.
"Cutera, Inc.",Colorful building blocks for creative play.
Tesco Corporation,Frozen mango chunks for smoothies or snacking.
Tesoro Corporation,Lightweight windbreaker for outdoor activities.
Eaton Vance Enhanced Equity Income Fund II,Lightweight and breathable running shorts for your workouts.
"CBRE Group, Inc.","Spicy black bean burgers, great on the grill."
Pentair plc.,Low-carb vegetable for pasta alternatives.
"Marchex, Inc.",High-density foam roller for muscle recovery.
Gol Linhas Aereas Inteligentes S.A.,Yoga socks designed to provide better grip and stability.
"U.S. Physical Therapy, Inc.",Adjustable shower head for a luxurious shower experience.
DTE Energy Company,Rich and creamy Caesar dressing for salads and wraps.
CBO (Listing Market - NYSE - Networks A/E),Floating lounger for relaxation in swimming pools or lakes.
Discover Financial Services,Extra layer of comfort for your mattress.
"Pinnacle Entertainment, Inc.",Easy mix for making spicy beef tacos.
Shinhan Financial Group Co Ltd,A comforting soup filled with chicken and noodles in broth.
Microsoft Corporation,Creamy almond butter made from roasted almonds.
"Reata Pharmaceuticals, Inc.",Fresh walnut halves for baking or snacking.
Nuveen Dow 30SM Dynamic Overwrite Fund,Durable lunch box designed to keep food fresh and cool.
"Investors Bancorp, Inc.",Clear feeder that attaches to windows for bird watching.
"Sientra, Inc.",Marinated chicken thighs with smoked paprika for a smoky flavor.
NXT-ID Inc.,"Crunchy granola made with oats, almonds, and coconut flakes."
Nuveen Arizona Quality Municipal Income Fund,Delicious cookies made with almond flour for a gluten-free treat.
"Voyager Therapeutics, Inc.",Soft comforter set for a cozy bedroom look.
"Speedway Motorsports, Inc.",Portable desk that can be adjusted for sitting or standing.
Quorum Health Corporation,Custom keychain with engraved text.
Macquarie Global Infrastructure Total Return Fund Inc.,Fresh greens and veggies for a quick Asian-inspired salad.
"Silicon Laboratories, Inc.","A sweet and spicy salsa made with mangoes and a hint of chili, great with chips or grilled chicken."
Invesco Municipal Income Opportunities Trust,Easy-to-install lights to brighten kitchen cabinets and workspaces.
Tronox Limited,"Healthy salad made with chickpeas, vegetables, and a lemon dressing."
Forum Merger Corporation,Organize your board games with this storage bin.
Infosys Limited,A refreshing blend of peaches and mangoes for a delicious smoothie.
"Assembly Biosciences, Inc.",Convenient carrier for transporting yoga mat.
"Kadmon Holdings, Inc.","Large, durable tote bag for shopping and outdoor activities."
"Apollo Global Management, LLC",Eco-friendly solar lights for pathways and gardens.
Stewart Information Services Corporation,Compact air conditioner for personal cooling.
"Oclaro, Inc.",A flavorful blend of Italian sausage with sautéed peppers and onions.
"Transcat, Inc.",Durable toy designed for heavy chewers.
Great Elm Capital Corp.,Stabilizer for smooth video recording with smartphones.
FirstService Corporation,A flavorful sauce made with coconut milk and spices.
CHS Inc,Floating lounger for relaxation in swimming pools or lakes.
"Interface, Inc.",Canned beans cooked in a savory chili sauce
RXi Pharmaceuticals Corporation,Handy keychain that emits a loud alarm for personal safety.
"Mexico Equity and Income Fund, Inc. (The)",Convenient stroller for pets to enjoy outdoor walks.
"China Ceramics Co., Ltd.",Compact yoga mat that folds for easy storage and transport.
Marriot Vacations Worldwide Corporation,Easy-to-set-up picnic table for outdoor dining.
Unifirst Corporation,"Firm tofu, a great plant-based protein option."
Stewart Information Services Corporation,"A complete meal kit containing breaded chicken breast, marinara sauce, and pasta, perfect for a quick dinner."
Grupo Supervielle S.A.,A rich curry paste for making authentic Thai green curry at home.
Sapiens International Corporation N.V.,Rapid boil electric kettle with temperature control.
Thomson Reuters Corp,Easy-to-install lights to brighten kitchen cabinets and workspaces.
"Swiss Helvetia Fund, Inc. (The)","Freshly baked whole wheat bread, rich in fiber."
State Street Corporation,All-in-one kit for making pasta salad easily.
Hanesbrands Inc.,"A mix of fresh raspberries, blueberries, and blackberries."
Arlington Asset Investment Corp,Double-sided art easel for painting and drawing.
ArcBest Corporation,A flavorful sauce made with coconut milk and spices.
Bank of Hawaii Corporation,Comfortable camping mattress that inflates automatically.
Qwest Corporation,"Sweet peach halves packed in juice, great for desserts."
VWR Corporation,Creamy pumpkin soup with spices
"Avid Technology, Inc.","A zesty salad with black beans, corn, and chipotle dressing."
"Sonic Automotive, Inc.",Fun lunchbox for kids with a sturdy design.
DTE Energy Company,"Assorted herbal teas, perfect for a warm and relaxing drink."
"Steel Dynamics, Inc.","A nutrient-packed salad mix with kale, quinoa, and a lemon vinaigrette, ready to eat."
"Pandora Media, Inc.",Spicy and smoky sausage great for grilling.
"Stratasys, Ltd.",Battery-operated motion sensor light for safety.
"Gulf Resources, Inc.",Warmer for heating baby bottles and food jars.
Nuveen Municipal High Income Opportunity Fund,Tangy salsa made from tomatillos and peppers.
"GTY Technology Holdings, Inc.","All-in-one meal kit including pasta, meatballs, and sauce for a quick dinner."
"Lawson Products, Inc.","Sweet peach halves packed in juice, great for desserts."
J P Morgan Chase & Co,Cozy cable knit cardigan to layer during chilly evenings.
"Guidance Software, Inc.","Complete kit with crayons, markers, and paper for young artists."
VOC Energy Trust,Stabilizer for smooth video recording with smartphones.
Pacific Drilling S.A.,"Fresh basil pesto, perfect for pasta or as a sandwich spread."
"Cidara Therapeutics, Inc.","Sweet peach halves packed in juice, great for desserts."
Anadarko Petroleum Corporation,Complete set of gardening tools for all your needs.
Morgan Stanley,Soft silicone earbud covers for comfort and fit.
PowerShares International BuyBack Achievers Portfolio,1080p wireless security camera with night vision.
"Auburn National Bancorporation, Inc.",A cozy cable knit beanie to keep your head warm in winter.
"BioCryst Pharmaceuticals, Inc.",Instant mix for delicious pumpkin spice lattes at home.
MFS Multimarket Income Trust,Moist and flavorful muffins packed with fall spices and pumpkin puree.
Greif Bros. Corporation,"A comfortable crew neck sweater, great for all seasons."
Heritage Commerce Corp,Automatic water fountain for pets with filtration.
Pentair plc.,Beautiful wall calendar for organizing your schedule.
Sealed Air Corporation,3-inch memory foam mattress topper for added comfort.
"SilverBow Resorces, Inc.","Smoothie mix combining peanut butter and banana, great for a quick breakfast."
Banco De Chile,"Canned chickpeas, perfect for hummus or salads."
iSectors Post-MPT Growth ETF,A flavorful barbecue sauce with a sweet and spicy kick.
Resource Capital Corp.,"Savory, protein-rich beef jerky for on-the-go snacking."
"MasTec, Inc.",Fine granulated sugar for all your baking needs.
Cohen & Steers Reit and Preferred Income Fund Inc,"Juicy chicken breast stuffed with spinach and feta cheese, seasoned to perfection."
NewLink Genetics Corporation,Portable chess set with magnetic pieces for travel.
Cushing Renaissance Fund (The),RFID-blocking slim wallet for cards and cash.
"SilverBow Resorces, Inc.","Frozen cauliflower bites coated in spicy buffalo sauce, ready to bake and enjoy as an appetizer."
"Fred's, Inc.",Silicone oven mitts designed for safe cooking and baking.
"Clovis Oncology, Inc.","Classic A-line skirt that flatters every figure, perfect for work or play."
Balchem Corporation,"Crunchy and nutritious almonds, perfect for snacking."
"BankUnited, Inc.",Ceramic pizza stone for homemade pizzas.
"Synchronoss Technologies, Inc.","A zesty salsa made from ripe avocados, tomatoes, onions, and jalapeños, great for dipping or topping."
"Nike, Inc.","A delightful mix of nuts, fruit, and chocolate."
Analogic Corporation,Compact digital camera with 20MP resolution.
"Cadence Design Systems, Inc.",A high-quality protein powder perfect for smoothies and baking.
"Darden Restaurants, Inc.","Smooth and creamy, ideal for spreads or baking."
Lehman ABS Corporation,Rich and creamy milk perfect for baking or desserts.
"Air T, Inc.","Thin and crispy flatbreads, perfect for dips."
Barrick Gold Corporation,"Lightly salted frozen edamame, a protein-packed snack."
"Esperion Therapeutics, Inc.",Spicy buffalo sauce ideal for wings or dipping.
Valley National Bancorp,Gentle glove for brushing and massaging your pet.
First Trust Nasdaq Pharmaceuticals ETF,Heavy-duty grill pan for indoor grilling.
"Colony NorthStar, Inc.",Stylish baskets for organizing various items in your home.
Hunter Maritime Acquisition Corp.,Set of stylish throw pillows for home decor.
Navios Maritime Acquisition Corporation,Satisfy your sweet tooth with these dark chocolate-covered raisins.
"Safeguard Scientifics, Inc.",Convenient belt with pockets for easy access to tools while gardening.
"Bridge Bancorp, Inc.",Tidy storage solution for rechargeable batteries.
"Teradyne, Inc.",Crunchy granola mixed with coconut flakes.
"A10 Networks, Inc.",Stainless steel travel mug with spill-proof lid.
Pioneer Municipal High Income Advantage Trust,Heavy-duty grill pan for indoor grilling.
"Shineco, Inc.",Digital scale for precise cooking measurements.
"RCI Hospitality Holdings, Inc.",Delicious frozen pizza with a variety of toppings.
The Goodyear Tire & Rubber Company,"Moist, fluffy muffins packed with bananas and walnuts for a delightful breakfast or snack."
"Civitas Solutions, Inc.",Hands-free waist pack for carrying essentials while walking your dog.
BP p.l.c.,Instant oatmeal cups with blueberries for an easy breakfast.
"ViewRay, Inc.",Lint roller designed specifically for removing pet hair from furniture.
"Ameresco, Inc.","Crunchy granola clusters, perfect for snacking or topping yogurt."
Deutsch Bk Contingent Cap Tr V,Rugged phone case for drop protection.
"The Ultimate Software Group, Inc.",DIY LED strip lights with remote control.
Quidel Corporation,Luxurious satin slip dress for an elegant evening look.
Kornit Digital Ltd.,A seasoning blend of garlic and herbs to enhance any dish.
Seanergy Maritime Holdings Corp,Elegant classic pumps that add sophistication to any outfit.
Pattern Energy Group Inc.,Convenient charging pad for wireless charging in vehicles.
MRC Global Inc.,Savory sauce perfect for pasta or dipping.
PowerShares LadderRite 0-5 Year Corporate Bond Portfolio,Space-saving cup that folds flat for easy storage.
Check-Cap Ltd.,Durable speaker designed for outdoor use with water resistance.
CombiMatrix Corporation,Fun gardening tools designed specifically for kids.
Invesco Plc,"Layered Greek yogurt with granola and mixed berries, ready to enjoy."
"Patterson-UTI Energy, Inc.",Complete kit for growing herbs indoors.
"Customers Bancorp, Inc",Breathable tank top perfect for workouts or casual wear.
Nevro Corp.,Supportive pillow designed for a good night's sleep.
"Q2 Holdings, Inc.",Precision cooker for perfect sous vide cooking.
Western Asset Emerging Markets Debt Fund Inc,Rapid boil electric kettle with temperature control.
Tennant Company,Durable ceramic bakeware for casseroles and desserts.
IBERIABANK Corporation,Rich vegetable broth for soups and stews.
"NCI Building Systems, Inc.",Golden-brown fritters made with sweet corn.
"Arrowhead Pharmaceuticals, Inc.","Creamy and rich vanilla ice cream, a classic dessert."
Liberty All-Star Equity Fund,Cute fairy figurines to decorate your garden or potted plants.
"Dynex Capital, Inc.",Ziti pasta baked with marinara and parmesan cheese
Shaw Communications Inc.,Rich and flavorful pasta sauce made with ripe tomatoes and basil.
PowerShares DWA Healthcare Momentum Portfolio,Safety collar with flashing lights for pets during night walks.
PowerShares S&P SmallCap Consumer Staples Portfolio,"Complete kit with crayons, markers, and paper for young artists."
FinTech Acquisition Corp. II,True wireless earbuds with excellent sound quality.
Morgan Stanley China A Share Fund Inc.,Adjustable tripod with remote shutter for smartphones.
Aptevo Therapeutics Inc.,Easily opens jar lids and bottle caps with one touch.
Washington Prime Group Inc.,Grilled chicken skewers glazed with teriyaki sauce.
CBO (Listing Market - NYSE - Networks A/E),"Layers of pasta, veggies, and cheese baked to perfection."
Lehman ABS Corporation,Soft blanket that provides warmth with adjustable settings.
"Trex Company, Inc.",Complete kit for emergency situations including food and water.
La Jolla Pharmaceutical Company,Smart speaker with Alexa and music streaming features.
FutureFuel Corp.,Protects surfaces while baking or cooking with hot items.
Fuling Global Inc.,Crispy spring rolls filled with vegetables
Cabot Oil & Gas Corporation,A calming blanket that provides gentle pressure for relaxation.
Yangtze River Development Limited,"Elegant midi skirt with a wrap design, great for both formal and casual events."
"Era Group, Inc.",A tailored slim fit shirt for a polished look at work.
Ophthotech Corporation,Classic chicken noodle soup with tender chicken and vegetables.
Educational Development Corporation,Creative building set for kids to spark imagination.
"Buffalo Wild Wings, Inc.","Spiralized zucchini, a healthy alternative to pasta."
Otelco Inc.,Ergonomically designed pillow with breathable bamboo cover.
"NantHealth, Inc.",Sweetened powder for refreshing lemonade.
Stamps.com Inc.,"Crunchy granola with almonds and a hint of vanilla, perfect for breakfast."
Capital One Financial Corporation,"Wide egg noodles, perfect for casseroles and soups."
"Henry Schein, Inc.",Crispy almonds coated with cinnamon and sugar for a sweet and crunchy snack.
Westmoreland Coal Company,Salty pretzels filled with creamy peanut butter.
Azul S.A.,Healthy granola made with oats and honey.
Boulevard Acquisition Corp. II,Creamy chickpea dip infused with zesty garlic flavor.
Pacific Gas & Electric Co.,"Frozen cauliflower bites coated in spicy buffalo sauce, ready to bake and enjoy as an appetizer."
FIRST REPUBLIC BANK,Compact USB fan for personal cooling.
iShares PHLX SOX Semiconductor Sector Index Fund,Complete cleaning kit for camera lenses.
Asure Software Inc,Double-sided art easel for painting and drawing.
Bank of America Corporation,A casual striped long sleeve shirt that's perfect for layering.
NOW Inc.,Compact camp stove for outdoor cooking.
Sutherland Asset Management Corporation,A flavorful spread made with roasted garlic and creamy butter.
Resource Capital Corp.,Specialized attachment for removing pet hair from surfaces.
CoreSite Realty Corporation,A blend of spices perfect for seasoning steak.
Reynolds American Inc,Hearty chili made with premium ground beef and kidney beans.
PennantPark Investment Corporation,Lightweight and portable paddle board for water sports.
Axis Capital Holdings Limited,Clip-on guitar tuner with LCD display.
iSectors Post-MPT Growth ETF,Shower head designed for a strong spray and complete coverage.
Arbor Realty Trust,"Floral and refreshing herbal tea, great hot or iced."
"Collectors Universe, Inc.",A fitted ribbed knit dress that hugs your curves perfectly.
"Pulmatrix, Inc.",Delicious cookies packed with oats and raisins.
Novelion Therapeutics Inc. ,Soft cotton graphic tee available in various designs.
Addus HomeCare Corporation,Traditional basil pesto made with extra virgin olive oil.
Cesca Therapeutics Inc.,"Grape leaves stuffed with rice and herbs, ready to eat."
"Colony Bankcorp, Inc.",A crunchy collection of flavored kettle chips in a convenient pack.
Global X Health & Wellness Thematic ETF,Stylish and spacious case for makeup and beauty products.
Comcast Corporation,Delicious cookies packed with oats and raisins.
Bryn Mawr Bank Corporation,A mix of frozen roasted vegetables for an easy side dish.
"Allete, Inc.",Regulate water temperature for safe and comfortable showers.
"KVH Industries, Inc.","Crispy sweet potato fries, a delicious side dish."
"BeyondSpring, Inc.",Creamy chickpea dip blended with tahini and garlic.
Ashford Hospitality Trust Inc,High-quality leather wallet with multiple compartments.
"CoStar Group, Inc.",Portable bed for pets while traveling.
Ohio Valley Banc Corp.,Whole wheat wraps filled with spinach and feta cheese.
Eaton Vance Short Diversified Income Fund,Easy-to-heat frozen burritos for a quick meal.
"Care.com, Inc.",Creamy chickpea dip infused with zesty garlic flavor.
Solar Senior Capital Ltd.,Essential tools for on-the-go bike maintenance.
Public Storage,"Super soft fleece blanket, perfect for coziness."
Xcel Energy Inc.,Cordless electric knife for effortless slicing.
HomeTown Bankshares Corporation,"Refreshing tea with honey and lemon flavor, perfect for a warm drink."
"Ameresco, Inc.","A selection of different flavored hummus, great for snacking."
"Blackrock MuniYield California Fund, Inc.",Ergonomically designed neck pillow for comfortable travel.
Nuveen High Income December 2019 Target Term Fund,Battery-operated air purifier for small spaces.
MagneGas Corporation,"A blend of roasted red peppers and spices, perfect for dipping."
Arc Logistic Partners LP,Creamy honey mustard sauce for dipping or dressing.
Royal Bank Scotland plc (The),Breathable mesh sports leggings for ultimate comfort.
Calamos Convertible and High Income Fund,"Customizable RGB LED light strip, perfect for mood lighting."
"Bay Bancorp, Inc.","Crunchy granola with maple syrup and pecans, great for breakfast or snacking."
Cognex Corporation,"Sliced black olives, perfect for salads and pizzas."
MTGE Investment Corp.,Adjustable grinders for fresh spices at the table.
"Cross Country Healthcare, Inc.",Perfectly balanced sweet and tangy BBQ sauce for dipping or grilling.
"Entergy Arkansas, Inc.",Everything you need to make delicious spicy tuna rolls at home.
Fastenal Company,Lightweight and durable tent for camping trips.
OCI Partners LP,Rechargeable electric toothbrush with smart timer.
Monroe Capital Corporation,Easy-to-make pancake mix with chocolate chips included.
"Huntington Ingalls Industries, Inc.",Lightweight windbreaker for outdoor activities.
Sensata Technologies Holding N.V.,"Crispy and chewy granola bars, perfect for on-the-go."
"Endologix, Inc.",Sturdy camera tripod for professional photography.
"ServiceSource International, Inc.",Quality scissors designed for easy pet grooming.
Clipper Realty Inc.,A sweet and spicy sauce for dipping or glazing.
Jumei International Holding Limited,"A hearty salad with grains, dried fruits, and nuts."
Shinhan Financial Group Co Ltd,"Chilled noodles dressed in sesame sauce, ready to eat."
Advent Claymore Convertible Securities and Income Fund II,"Creamy chickpea dip, perfect for veggies or pita."
BHP Billiton plc,Fashionable wide-leg trousers for a chic silhouette.
"A. Schulman, Inc.",Compact sterilizer for disinfecting small items.
"Auburn National Bancorporation, Inc.","A savory marinade for meats, perfect for grilling."
Macquarie Global Infrastructure Total Return Fund Inc.,A stunning lace dress perfect for special occasions.
Platform Specialty Products Corporation,Creamy pumpkin soup with spices
"ANSYS, Inc.","Nutritious blend of wild rice and quinoa, perfect as a side dish."
Alcobra Ltd.,Complete kit for emergency situations including food and water.
Modern Media Acquisition Corp.,Compact laundry bag for travel use.
Triangle Capital Corporation,Comprehensive tool set for gardening enthusiasts.
"Nexeo Solutions, Inc.",Instant hot water dispenser for tea and cooking.
"National Bankshares, Inc.",Individually packaged bars made with dried fruits and nuts.
Cincinnati Financial Corporation,Savory bacon jerky coated with maple flavoring.
"Sensus Healthcare, Inc.",Cook rice and steam vegetables simultaneously for healthy meals.
"Pepsico, Inc.",Roasted cashews coated in honey and sesame seeds for a sweet treat.
Double Eagle Acquisition Corp.,A fashion-forward bomber jacket to elevate your casual looks.
Alabama Power Company,Mesh drying rack for preserving herbs and flowers.
Vanguard Short-Term Corporate Bond ETF,Fresh organic cucumber perfect for salads or snacking.
"Collectors Universe, Inc.",True wireless earbuds with excellent sound quality.
Discover Financial Services,"A smoky barbecue sauce, ideal for grilling and dipping."
"Tivity Health, Inc.",Crunchy croutons with a blend of herbs for salads.
"One Liberty Properties, Inc.",Convenient carrier for transporting yoga mat.
"Kelly Services, Inc.","Baked kale chips seasoned for a healthy, crunchy snack."
ENGlobal Corporation,Artisan bread with caraway seeds for added flavor.
"Ares Dynamic Credit Allocation Fund, Inc.",Stainless steel travel mug with spill-proof lid.
Nuveen Municipal High Income Opportunity Fund,"Crunchy tortilla chips with a hint of sea salt, great with dips."
Seaspan Corporation,Heavy-duty grill pan for indoor grilling.
"MobileIron, Inc.",Lightweight and moisture-wicking racerback tank for workouts.
"Plains All American Pipeline, L.P.",Manual blender for smoothies and mixing ingredients on the go.
"Telenav, Inc.",Everything you need to make your own scented candles at home.
AGNC Investment Corp.,"Creamy mashed sweet potatoes, ready to heat and serve."
"Financial Institutions, Inc.",Durable backpack designed for hiking and outdoor excursions.
"UMH Properties, Inc.",Compact camp stove for outdoor cooking.
First Community Corporation,Indoor putting green for practicing your putting skills.
"ConAgra Brands, Inc.",Automatically cooks eggs to your desired level.
"Agios Pharmaceuticals, Inc.","Canned diced tomatoes, great base for sauces and soups."
"WesBanco, Inc.",Oven-roasted potatoes tossed in garlic and parmesan cheese seasoning.
"BSB Bancorp, Inc.",Grow herbs indoors with this easy-to-use hydroponic garden system.
"OneMain Holdings, Inc.",Lightweight and durable tent for camping trips.
Koninklijke Philips N.V.,Bright flashlight with rechargeable batteries included.
"Stericycle, Inc.",Crispy spring rolls filled with vegetables
REGENXBIO Inc.,Programmable pet feeder for scheduled meals.
Seaspan Corporation,Creamy honey mustard sauce for dipping or dressing.
"Hercules Capital, Inc.","Quick oatmeal cups with banana and nut flavor, great for breakfast."
Ericsson,High-quality matcha powder for smoothies and baking.
NBT Bancorp Inc.,Durable non-stick frying pan for easy cooking and cleaning.
NASDAQ TEST STOCK,A rich pesto made with sun-dried tomatoes and pine nuts.
Gabelli Multi-Media Trust Inc. (The),Convenient feeder that adjusts to your pet's height.
International Business Machines Corporation,Savory bacon jerky coated with maple flavoring.
Banner Corporation,"Marinated shrimp in a garlic and lemon sauce, perfect for grilling."
Monroe Capital Corporation,"Flavorful rice mixed with coconut and lime, a tropical side dish."
Tidewater Inc.,Wi-Fi enabled doorbell with HD camera and two-way audio.
Northwest Pipe Company,Classic V-neck sweater crafted from soft wool for warmth and style.
Cerner Corporation,"Flavorful chicken sausage, low in fat and fully cooked."
Finisar Corporation,Fairy lights perfect for decorating patios and backyards.
Ion Geophysical Corporation,"Classic marinara sauce for pasta, pizza, or dipping."
Sotheby's,Ergonomically designed pillow with breathable bamboo cover.
"Casella Waste Systems, Inc.",A smoky blend of spices for grilling and roasting.
Chimera Investment Corporation,Cozy throw blanket perfect for chilly evenings.
"Nexeo Solutions, Inc.",Comfortable gaming chair for long hours of play.
Ampco-Pittsburgh Corporation,Fresh kale with Caesar dressing and croutons.
"SharpSpring, Inc.","Chopped and frozen spinach, ideal for cooking and smoothies."
"Nivalis Therapeutics, Inc.",Cordless electric screwdriver for home projects.
"MedEquities Realty Trust, Inc.","A sweet and spicy salsa made with mangoes and a hint of chili, great with chips or grilled chicken."
"Prudential Financial, Inc.",Compact sterilizer for disinfecting small items.
"Universal Stainless & Alloy Products, Inc.",Convenient hooks that utilize door space for hanging items.
"U S Concrete, Inc.",Quick-cooking ramen noodles made with organic wheat.
AECOM,Soft corner protectors to keep babies safe at home.
Cross Timbers Royalty Trust,Eco-friendly solar lights for pathways and gardens.
"Hasbro, Inc.",Breathable polo shirt designed for both style and comfort on the greens.
Global X Social Media ETF,Unique coffee brewing method for a flavorful experience.
Senior Housing Properties Trust,Quote wall art to inspire and motivate.
U.S. Bancorp,"Instant oats with a savory twist, such as herbs and spices."
First Horizon National Corporation,"Authentic Italian pasta, perfect for a classic meal."
"Aerojet Rocketdyne Holdings, Inc. ",Wireless headphones with noise-canceling features.
"Greenbrier Companies, Inc. (The)",Windshield sunshade for car interior protection.
"Intersect ENT, Inc.",Timeless analog watch with a leather strap.
Government Properties Income Trust,"Soft, cuddly toy that interacts with children."
